exec	otimizador	repeticao	parte	modelo	RMSE	R2
188	L-BFGS-B	19	9	ch	6954.946623	0.729989
189	L-BFGS-B	19	10	ch	6157.985711	0.768135
190	L-BFGS-B	20	1	ch	8795.371193	0.652401
191	L-BFGS-B	20	2	ch	8318.302291	0.662269
192	L-BFGS-B	20	3	ch	5991.788654	0.769591
193	L-BFGS-B	20	4	ch	5385.369999	0.782539
194	L-BFGS-B	20	5	ch	8558.760825	0.656209
195	L-BFGS-B	20	6	ch	7425.554005	0.701254
196	L-BFGS-B	20	7	ch	6546.658673	0.744215
197	L-BFGS-B	20	8	ch	4623.923894	0.839888
198	L-BFGS-B	20	9	ch	6061.513780	0.772887
199	L-BFGS-B	20	10	ch	7396.246436	0.709244
200	L-BFGS-B	21	1	ch	7532.670403	0.704283
201	L-BFGS-B	21	2	ch	7268.221867	0.712603
202	L-BFGS-B	21	3	ch	7113.592220	0.724133
203	L-BFGS-B	21	4	ch	6495.475394	0.749109
204	L-BFGS-B	21	5	ch	5405.774791	0.779770
205	L-BFGS-B	21	6	ch	8553.946288	0.637381
206	L-BFGS-B	21	7	ch	6240.188026	0.758597
207	L-BFGS-B	21	8	ch	7992.537056	0.680455
208	L-BFGS-B	21	9	ch	7443.797572	0.712683
209	L-BFGS-B	21	10	ch	5714.154184	0.787486
210	L-BFGS-B	22	1	ch	8066.505915	0.687406
211	L-BFGS-B	22	2	ch	5909.360351	0.771831
212	L-BFGS-B	22	3	ch	7127.766415	0.716049
213	L-BFGS-B	22	4	ch	7207.199192	0.722430
214	L-BFGS-B	22	5	ch	7292.219086	0.706841
215	L-BFGS-B	22	6	ch	6996.129573	0.718556
216	L-BFGS-B	22	7	ch	6565.450347	0.719519
217	L-BFGS-B	22	8	ch	6156.695324	0.770543
218	L-BFGS-B	22	9	ch	7561.631190	0.684561
219	L-BFGS-B	22	10	ch	7260.768793	0.717452
220	L-BFGS-B	23	1	ch	6972.585635	0.719908
221	L-BFGS-B	23	2	ch	7303.044471	0.710702
222	L-BFGS-B	23	3	ch	5240.999532	0.811857
223	L-BFGS-B	23	4	ch	6244.657833	0.752287
224	L-BFGS-B	23	5	ch	9491.379916	0.626235
225	L-BFGS-B	23	6	ch	5655.865602	0.783895
226	L-BFGS-B	23	7	ch	7618.969490	0.700657
227	L-BFGS-B	23	8	ch	7172.703216	0.709583
228	L-BFGS-B	23	9	ch	7244.305740	0.710530
229	L-BFGS-B	23	10	ch	6579.220484	0.745018
230	L-BFGS-B	24	1	ch	6427.294118	0.760292
231	L-BFGS-B	24	2	ch	6636.049997	0.737854
232	L-BFGS-B	24	3	ch	8517.639610	0.651923
233	L-BFGS-B	24	4	ch	7040.203936	0.724315
234	L-BFGS-B	24	5	ch	7802.667015	0.690307
235	L-BFGS-B	24	6	ch	8431.446662	0.656909
236	L-BFGS-B	24	7	ch	7401.166745	0.714185
237	L-BFGS-B	24	8	ch	4935.268159	0.816340
238	L-BFGS-B	24	9	ch	5731.298430	0.767367
239	L-BFGS-B	24	10	ch	6633.812070	0.739794
240	L-BFGS-B	25	1	ch	8162.130357	0.680998
241	L-BFGS-B	25	2	ch	6917.152240	0.726364
242	L-BFGS-B	25	3	ch	7806.802369	0.688694
243	L-BFGS-B	25	4	ch	7517.710641	0.703546
244	L-BFGS-B	25	5	ch	7632.605113	0.697936
245	L-BFGS-B	25	6	ch	5766.220225	0.777844
246	L-BFGS-B	25	7	ch	6512.495572	0.739335
247	L-BFGS-B	25	8	ch	7469.232903	0.708330
248	L-BFGS-B	25	9	ch	6016.279320	0.776950
249	L-BFGS-B	25	10	ch	6145.853459	0.728647
250	L-BFGS-B	26	1	ch	6961.730386	0.722055
251	L-BFGS-B	26	2	ch	7722.749688	0.695006
252	L-BFGS-B	26	3	ch	6518.929055	0.751875
253	L-BFGS-B	26	4	ch	7332.576068	0.688928
254	L-BFGS-B	26	5	ch	5687.054656	0.785193
255	L-BFGS-B	26	6	ch	7397.328249	0.696484
256	L-BFGS-B	26	7	ch	8050.926225	0.686248
257	L-BFGS-B	26	8	ch	5641.510752	0.788738
258	L-BFGS-B	26	9	ch	7904.894696	0.673001
259	L-BFGS-B	26	10	ch	6724.205698	0.746261
260	L-BFGS-B	27	1	ch	5221.786802	0.817258
261	L-BFGS-B	27	2	ch	7438.232161	0.702035
262	L-BFGS-B	27	3	ch	8345.687522	0.653649
263	L-BFGS-B	27	4	ch	4709.494855	0.833359
264	L-BFGS-B	27	5	ch	7127.056037	0.707926
265	L-BFGS-B	27	6	ch	7264.353366	0.715766
266	L-BFGS-B	27	7	ch	6489.415692	0.752101
267	L-BFGS-B	27	8	ch	7763.522175	0.683516
268	L-BFGS-B	27	9	ch	7229.673513	0.713053
269	L-BFGS-B	27	10	ch	7942.594176	0.681235
270	L-BFGS-B	28	1	ch	6376.141028	0.759800
271	L-BFGS-B	28	2	ch	8279.937798	0.679663
272	L-BFGS-B	28	3	ch	6174.221383	0.756889
273	L-BFGS-B	28	4	ch	6739.847585	0.734018
274	L-BFGS-B	28	5	ch	7484.315250	0.707373
275	L-BFGS-B	28	6	ch	5248.303962	0.801026
276	L-BFGS-B	28	7	ch	5745.558475	0.770626
277	L-BFGS-B	28	8	ch	7023.370039	0.721963
278	L-BFGS-B	28	9	ch	7043.578905	0.708709
279	L-BFGS-B	28	10	ch	9358.704614	0.620280
280	L-BFGS-B	29	1	ch	7233.178119	0.709106
281	L-BFGS-B	29	2	ch	8264.387613	0.656876
282	L-BFGS-B	29	3	ch	6237.882544	0.767251
283	L-BFGS-B	29	4	ch	7591.571462	0.689175
284	L-BFGS-B	29	5	ch	6389.911299	0.751537
285	L-BFGS-B	29	6	ch	6405.655544	0.754175
286	L-BFGS-B	29	7	ch	6850.602153	0.723676
287	L-BFGS-B	29	8	ch	8057.219289	0.695121
288	L-BFGS-B	29	9	ch	5568.392582	0.775304
289	L-BFGS-B	29	10	ch	7338.364419	0.713848
290	L-BFGS-B	30	1	ch	5776.264547	0.773561
291	L-BFGS-B	30	2	ch	6629.488398	0.727611
292	L-BFGS-B	30	3	ch	6416.503651	0.736490
293	L-BFGS-B	30	4	ch	6698.150477	0.741646
294	L-BFGS-B	30	5	ch	9683.746706	0.599529
295	L-BFGS-B	30	6	ch	7457.720825	0.699755
296	L-BFGS-B	30	7	ch	7646.205154	0.694088
297	L-BFGS-B	30	8	ch	5795.378883	0.789495
298	L-BFGS-B	30	9	ch	5923.558042	0.777545
299	L-BFGS-B	30	10	ch	7469.217002	0.710336
300	L-BFGS-B	1	1	sak	0.145237	0.955278
301	L-BFGS-B	1	2	sak	0.127035	0.969384
302	L-BFGS-B	1	3	sak	0.142371	0.960015
303	L-BFGS-B	1	4	sak	0.161996	0.954436
304	L-BFGS-B	1	5	sak	0.134236	0.960109
305	L-BFGS-B	1	6	sak	0.145200	0.953673
306	L-BFGS-B	1	7	sak	0.134595	0.962727
307	L-BFGS-B	1	8	sak	0.148514	0.955514
308	L-BFGS-B	1	9	sak	0.146248	0.962755
309	L-BFGS-B	1	10	sak	0.143376	0.967546
310	L-BFGS-B	2	1	sak	0.151071	0.957604
311	L-BFGS-B	2	2	sak	0.136360	0.962321
312	L-BFGS-B	2	3	sak	0.142372	0.959475
313	L-BFGS-B	2	4	sak	0.130628	0.964458
314	L-BFGS-B	2	5	sak	0.155834	0.955800
315	L-BFGS-B	2	6	sak	0.134694	0.957526
316	L-BFGS-B	2	7	sak	0.148070	0.956047
317	L-BFGS-B	2	8	sak	0.129035	0.968803
318	L-BFGS-B	2	9	sak	0.143540	0.961845
319	L-BFGS-B	2	10	sak	0.157192	0.959717
320	L-BFGS-B	3	1	sak	0.142555	0.957864
321	L-BFGS-B	3	2	sak	0.154423	0.955507
322	L-BFGS-B	3	3	sak	0.141088	0.964143
323	L-BFGS-B	3	4	sak	0.132258	0.965525
324	L-BFGS-B	3	5	sak	0.143880	0.961433
325	L-BFGS-B	3	6	sak	0.120744	0.970107
326	L-BFGS-B	3	7	sak	0.149314	0.957720
327	L-BFGS-B	3	8	sak	0.167874	0.949010
328	L-BFGS-B	3	9	sak	0.143244	0.962717
329	L-BFGS-B	3	10	sak	0.129106	0.963196
330	L-BFGS-B	4	1	sak	0.141057	0.960010
331	L-BFGS-B	4	2	sak	0.148390	0.958831
332	L-BFGS-B	4	3	sak	0.150425	0.951381
333	L-BFGS-B	4	4	sak	0.151742	0.959384
334	L-BFGS-B	4	5	sak	0.144032	0.959619
335	L-BFGS-B	4	6	sak	0.137196	0.961674
336	L-BFGS-B	4	7	sak	0.139768	0.966995
337	L-BFGS-B	4	8	sak	0.122944	0.970828
338	L-BFGS-B	4	9	sak	0.141541	0.955768
339	L-BFGS-B	4	10	sak	0.153000	0.955998
340	L-BFGS-B	5	1	sak	0.148917	0.956856
341	L-BFGS-B	5	2	sak	0.144149	0.958153
342	L-BFGS-B	5	3	sak	0.135013	0.960813
343	L-BFGS-B	5	4	sak	0.136106	0.963467
344	L-BFGS-B	5	5	sak	0.144462	0.965504
345	L-BFGS-B	5	6	sak	0.144221	0.958894
346	L-BFGS-B	5	7	sak	0.154111	0.957655
347	L-BFGS-B	5	8	sak	0.139334	0.965360
348	L-BFGS-B	5	9	sak	0.135037	0.955970
349	L-BFGS-B	5	10	sak	0.150031	0.958872
350	L-BFGS-B	6	1	sak	0.136258	0.962700
351	L-BFGS-B	6	2	sak	0.143768	0.959276
352	L-BFGS-B	6	3	sak	0.135057	0.966772
353	L-BFGS-B	6	4	sak	0.172512	0.949462
354	L-BFGS-B	6	5	sak	0.145034	0.960942
355	L-BFGS-B	6	6	sak	0.141887	0.958740
356	L-BFGS-B	6	7	sak	0.134468	0.966192
357	L-BFGS-B	6	8	sak	0.131972	0.964104
358	L-BFGS-B	6	9	sak	0.146610	0.960360
359	L-BFGS-B	6	10	sak	0.140491	0.955608
360	L-BFGS-B	7	1	sak	0.148144	0.957772
361	L-BFGS-B	7	2	sak	0.143188	0.961916
362	L-BFGS-B	7	3	sak	0.124750	0.968208
363	L-BFGS-B	7	4	sak	0.129016	0.968845
364	L-BFGS-B	7	5	sak	0.144514	0.961224
365	L-BFGS-B	7	6	sak	0.151144	0.957387
366	L-BFGS-B	7	7	sak	0.138229	0.958880
367	L-BFGS-B	7	8	sak	0.136904	0.962486
368	L-BFGS-B	7	9	sak	0.148389	0.960701
369	L-BFGS-B	7	10	sak	0.164502	0.945723
370	L-BFGS-B	8	1	sak	0.143263	0.963483
371	L-BFGS-B	8	2	sak	0.140552	0.960681
372	L-BFGS-B	8	3	sak	0.143445	0.962613
373	L-BFGS-B	8	4	sak	0.122755	0.966399
374	L-BFGS-B	8	5	sak	0.140915	0.959797
375	L-BFGS-B	8	6	sak	0.141121	0.960048
376	L-BFGS-B	8	7	sak	0.151814	0.952867
377	L-BFGS-B	8	8	sak	0.156103	0.954736
378	L-BFGS-B	8	9	sak	0.142793	0.963552
379	L-BFGS-B	8	10	sak	0.145205	0.960719
380	L-BFGS-B	9	1	sak	0.138111	0.959537
381	L-BFGS-B	9	2	sak	0.156384	0.952946
382	L-BFGS-B	9	3	sak	0.131776	0.967436
383	L-BFGS-B	9	4	sak	0.136473	0.959616
384	L-BFGS-B	9	5	sak	0.136851	0.955703
385	L-BFGS-B	9	6	sak	0.151928	0.958469
386	L-BFGS-B	9	7	sak	0.134836	0.965885
387	L-BFGS-B	9	8	sak	0.148388	0.961946
388	L-BFGS-B	9	9	sak	0.149181	0.957377
389	L-BFGS-B	9	10	sak	0.148426	0.962179
390	L-BFGS-B	10	1	sak	0.141713	0.963236
391	L-BFGS-B	10	2	sak	0.147824	0.961325
392	L-BFGS-B	10	3	sak	0.138079	0.964502
393	L-BFGS-B	10	4	sak	0.155788	0.944148
394	L-BFGS-B	10	5	sak	0.138773	0.962236
395	L-BFGS-B	10	6	sak	0.133578	0.963296
396	L-BFGS-B	10	7	sak	0.133249	0.968838
397	L-BFGS-B	10	8	sak	0.134380	0.964773
398	L-BFGS-B	10	9	sak	0.151870	0.953288
399	L-BFGS-B	10	10	sak	0.154665	0.954674
400	L-BFGS-B	11	1	sak	0.133105	0.965633
401	L-BFGS-B	11	2	sak	0.152143	0.951552
402	L-BFGS-B	11	3	sak	0.123698	0.967221
403	L-BFGS-B	11	4	sak	0.151493	0.955554
404	L-BFGS-B	11	5	sak	0.123042	0.968401
405	L-BFGS-B	11	6	sak	0.141070	0.964656
406	L-BFGS-B	11	7	sak	0.153421	0.957891
407	L-BFGS-B	11	8	sak	0.127516	0.965901
408	L-BFGS-B	11	9	sak	0.161632	0.955310
409	L-BFGS-B	11	10	sak	0.157889	0.954277
410	L-BFGS-B	12	1	sak	0.163972	0.949530
411	L-BFGS-B	12	2	sak	0.140572	0.959291
412	L-BFGS-B	12	3	sak	0.118837	0.969058
413	L-BFGS-B	12	4	sak	0.150761	0.961623
414	L-BFGS-B	12	5	sak	0.142623	0.956782
415	L-BFGS-B	12	6	sak	0.138614	0.965839
416	L-BFGS-B	12	7	sak	0.153891	0.953614
417	L-BFGS-B	12	8	sak	0.142913	0.959682
418	L-BFGS-B	12	9	sak	0.147371	0.963596
419	L-BFGS-B	12	10	sak	0.133079	0.961914
420	L-BFGS-B	13	1	sak	0.149218	0.956933
421	L-BFGS-B	13	2	sak	0.150751	0.954851
422	L-BFGS-B	13	3	sak	0.147053	0.955515
423	L-BFGS-B	13	4	sak	0.134174	0.959246
424	L-BFGS-B	13	5	sak	0.137050	0.964738
425	L-BFGS-B	13	6	sak	0.140117	0.966473
426	L-BFGS-B	13	7	sak	0.151410	0.957388
427	L-BFGS-B	13	8	sak	0.154513	0.956699
428	L-BFGS-B	13	9	sak	0.116190	0.973887
429	L-BFGS-B	13	10	sak	0.145991	0.958359
430	L-BFGS-B	14	1	sak	0.140175	0.961290
431	L-BFGS-B	14	2	sak	0.135625	0.963820
432	L-BFGS-B	14	3	sak	0.150875	0.963085
433	L-BFGS-B	14	4	sak	0.155978	0.955614
434	L-BFGS-B	14	5	sak	0.134936	0.962074
435	L-BFGS-B	14	6	sak	0.145295	0.958500
436	L-BFGS-B	14	7	sak	0.139763	0.959840
437	L-BFGS-B	14	8	sak	0.138625	0.964215
438	L-BFGS-B	14	9	sak	0.142742	0.960387
439	L-BFGS-B	14	10	sak	0.144660	0.956033
440	L-BFGS-B	15	1	sak	0.135592	0.966129
441	L-BFGS-B	15	2	sak	0.163296	0.955482
442	L-BFGS-B	15	3	sak	0.155543	0.955031
443	L-BFGS-B	15	4	sak	0.123052	0.971362
444	L-BFGS-B	15	5	sak	0.137491	0.962565
445	L-BFGS-B	15	6	sak	0.151878	0.950390
446	L-BFGS-B	15	7	sak	0.136844	0.964766
447	L-BFGS-B	15	8	sak	0.130018	0.964162
448	L-BFGS-B	15	9	sak	0.156033	0.950435
449	L-BFGS-B	15	10	sak	0.143879	0.959616
450	L-BFGS-B	16	1	sak	0.139123	0.963335
451	L-BFGS-B	16	2	sak	0.134202	0.959941
452	L-BFGS-B	16	3	sak	0.148866	0.952890
453	L-BFGS-B	16	4	sak	0.148482	0.956482
454	L-BFGS-B	16	5	sak	0.144602	0.965535
