Bairros;Densidade habitacional territorial;Percentual de area urbanizada;Grau de verticalizacao;Percentual area pracas;Percentual da area construida que e residencial;Percentual de imoveis alugados;Postos de trabalho – comercio;Postos de trabalho – servicos;Postos de trabalho – indústria de transformacao;Densidade domiciliar;Percentual domicilios recenseados ocupados;Indice desenvolvimento social;Percentual domicilios abaixo da linha de pobreza;Percentual da populacao vivendo em favelas;Homicidio doloso;Roubo a transeunte;Roubo de veiculos;Furto de veiculos;Menor Distancia centralidade tipo 1;Menor Distancia centralidade tipo 2;Menor Distancia centralidade tipo 3;Distância praia fora da baia mais proxima;Indice de Qualidade praia;Indice de transporte
Meier;0.41517815;1;0.33344757;0.04100946;0.74540053;0.38822937;0.37834184;0.21031462;0.06691919;0.39849624;0.78522146;0.63934426;0.24030172;0.00531838;0.125;0.31535142;0.25597426;0.20650096;0.10941476;0.30844156;0.16961131;0.39090909;0;0.14285714
Monero;0.25435663;0.95744681;0.15395693;0.2851735;0.9561765;0.27979102;0.01824872;0.01052914;0.001554;0.43609023;0.86401068;0.63934426;0;0;0.375;0.23551171;0.13097426;0.43977055;0.33587786;0.65909091;0.37102473;0.73181818;0.10666667;0
Olaria;0.31986319;0.91489362;0.16329045;0.05615142;0.67422243;0.43809869;0.24188946;0.08557383;0.09799922;0.58646617;0.83952815;0.43169399;0.31681034;0.14868771;0.42857143;0.38625154;0.31525735;0.57552581;0.1221374;0.37012987;0.06007067;0.40909091;0;0.42857143
Oswaldo Cruz;0.33752394;0.9893617;0.11989124;0.00946372;0.83559332;0.38746054;0.02973866;0.03852342;0.01495726;0.57894737;0.79145337;0.37978142;0.36907328;0.03663564;0.30357143;0.46239211;0.41268382;0.2791587;0.19847328;0.24350649;0.23321555;0.54090909;0;0.14285714
Paciencia;0.06721876;0.4787234;0.02658634;0.0555205;0.66383585;0.0212803;0.11970562;0.02207723;0.12354312;0.82706767;0.74515914;0.22677596;0.74515086;0.25798157;0.84821429;0.31935882;0.18244485;0.48374761;0.956743;0.11038961;0.57597173;0.65454545;0;0.42857143
Padre Miguel;0.27016568;0.90425532;0.13084185;0.10094637;0.81624944;0.25568483;0.09514869;0.04104398;0.01398601;0.69172932;0.81259737;0.35245902;0.46551724;0.18916762;0.88392857;1;1;0.6500956;0.55725191;0.12987013;0.09187279;0.63636364;0;0.14285714
Paqueta;0.03639221;0.46808511;0.06912678;0.52681388;0.84834432;0.60032896;0.00292881;0.0021094;0;0.42105263;0.05452927;0.42349727;0.37015086;0.27017645;0;0;0;0;0.44274809;1;0.73498233;1;0.10666667;0
Parada de Lucas;0.22195625;0.78723404;0.09690213;0.01577287;0.47207123;0.25438431;0.08298288;0.01533786;0.08644134;0.89473684;0.87892277;0.27322404;0.75862069;0.56497868;0.39285714;0.35110974;0.53262868;0.43594646;0.17048346;0.4025974;0.2155477;0.48636364;0;0.42857143
Parque Anchieta;0.1350811;0.5;0.06386149;0.15078864;0.89895113;0.28719301;0.01201562;0.00845549;0.01010101;0.72932331;0.82550634;0.3715847;0.43480603;0.04677537;0.53571429;0.51078915;0.63189338;0.26003824;0.24681934;0.23701299;0.22614841;0.62272727;0;0
Parque Columbia;0.12163974;0.9787234;0.10935771;0.00757098;0.25312597;0.11516292;0.19705617;0.06683947;0.08634421;0.76691729;0.80592032;0.26229508;0.41756466;0.40983151;0.94642857;0.40875462;0.89016544;0.31166348;0.2264631;0.46103896;0.32508834;0.60909091;0;0
Pavuna;0.23920763;0.96808511;0.07744398;0.1318612;0.5644427;0.11693376;0.27425653;0.09899893;0.21950272;0.7593985;0.84375696;0.30054645;0.58890086;0.25875563;0.94642857;0.40875462;0.89016544;0.31166348;0.18575064;0.37012987;0.27561837;0.51363636;0;0.71428571
Pechincha;0.25061329;0.88297872;0.24996817;0.02712934;0.85218954;0.28903795;0.35603785;0.09765821;0.03108003;0.4962406;0.7609615;0.54644809;0.19288793;0.03941584;0.11607143;0.17046856;0.09191176;0.0707457;0.32824427;0.24675325;0.38162544;0.42727273;0;0
Pedra de Guaratiba;0.04968105;0.67021277;0.06179992;0.0681388;0.9080076;0.30115042;0.03972664;0.01683947;0.00281663;0.69924812;0.23703539;0.28961749;0.42133621;0;0.17857143;0.12515413;0.06985294;0.17973231;0.95165394;0.45454545;0.8869258;0.31363636;0.10666667;0
Penha;0.2772195;0.90425532;0.12883991;0.05993691;0.61261068;0.32036875;0.51809853;0.13888094;0.31041181;0.78947368;0.81638104;0.3579235;0.48329741;0.4527386;0.42857143;0.38625154;0.31525735;0.57552581;0.13486005;0.38961039;0.12367491;0.45;0;0.42857143
Penha Circular;0.21067445;0.93617021;0.17213509;0.11419558;0.49288468;0.39034626;0.42835686;0.23192706;0.36985237;0.70676692;0.79011796;0.40163934;0.46174569;0.14065313;0.41071429;0.37114673;0.40854779;0.51625239;0.16793893;0.37012987;0.17314488;0.56363636;0;0.42857143
Piedade;0.22768814;0.74468085;0.16908385;0.01514196;0.78650422;0.45014986;0.10588765;0.03160529;0.09362859;0.58646617;0.83418651;0.42896175;0.2424569;0.07746458;0.15178571;0.36436498;0.28860294;0.11089866;0.16284987;0.29545455;0.21908127;0.46363636;0;0.14285714
Pilares;0.30428096;0.96808511;0.12102372;0.03911672;0.71126457;0.38026641;0.39050766;0.10386128;0.06672494;0.61654135;0.85265969;0.38251366;0.40571121;0.09046551;0.15178571;0.36436498;0.28860294;0.11089866;0.1221374;0.33441558;0.18374558;0.51363636;0;0.14285714
Pitangueiras;0.40047521;0.88297872;0.10527416;0.05930599;0.98437906;0.3057621;0;0;0.002331;0.65413534;0.91386601;0.3715847;0.44288793;0.57957573;0.375;0.23551171;0.13097426;0.43977055;0.40458015;0.71753247;0.47349823;0.84090909;0.10666667;0
Portuguesa;0.41397214;0.9893617;0.20395628;0.17097792;0.80973217;0.32468579;0.04941424;0.01780479;0.00524476;0.56390977;0.94458046;0.49726776;0.20528017;0.26599015;0.375;0.23551171;0.13097426;0.43977055;0.31806616;0.61363636;0.34628975;0.7;0;0
Praca da Bandeira;0.24585363;1;0.26294533;0.04605678;0.43034283;0.70696265;0.10678883;0.16262066;0.04020979;0.27067669;0.68640107;0.62295082;0.13523707;0;0.00892857;0.23705302;0.08869485;0.09560229;0.043257;0.3474026;0.12367491;0.27727273;0;0.14285714
Praca Seca;0.20081904;0.67021277;0.14279997;0.05930599;0.86147384;0.24450553;0.07637429;0.03720057;0.004662;0.63909774;0.76763855;0.42076503;0.31573276;0.28860778;0.07142857;0.16861899;0.09880515;0.0458891;0.29262087;0.21428571;0.4204947;0.38181818;0;0.28571429
Praia da Bandeira;0.32173653;0.90425532;0.15437482;0.04858044;1;0.46638849;0.01794833;0.00427243;0.00019425;0.5037594;0.84865346;0.53278689;0.17780172;0;0.375;0.23551171;0.13097426;0.43977055;0.37659033;0.70779221;0.42756184;0.80909091;0.10666667;0
Quintino Bocaiuva;0.14551857;0.5;0.1525311;0.00126183;0.85104028;0.45380283;0.04573445;0.12826242;0.06526807;0.60902256;0.74204318;0.40983607;0.26023707;0.1236579;0.47321429;0.76479655;0.62408088;0.39388145;0.14249364;0.26948052;0.20848057;0.45454545;0;0.14285714
Ramos;0.29936052;1;0.16307804;0.02523659;0.5415768;0.5058851;0.32179333;0.18857705;0.19988345;0.57894737;0.88871578;0.42622951;0.25700431;0.16457885;1;0.51418002;0.38556985;0.33843212;0.1221374;0.38311688;0.07420495;0.41818182;0;0.42857143
Realengo;0.13929363;0.44680851;0.12283783;0.06246057;0.81254905;0.23657877;0.39681586;0.13539507;0.18162393;0.68421053;0.82817716;0.33060109;0.45150862;0.14081414;0.60714286;0.47348952;0.42738971;0.57361377;0.54198473;0.14935065;0.11660777;0.62272727;0;0.14285714
Recreio dos Bandeirantes;0.05121946;0.4787234;0.15734436;0.17287066;0.82718548;0.49397109;0.19998498;0.20636396;0.02000777;0.58646617;0.42844425;0.56284153;0.23329741;0.2346719;0.21428571;0.17231813;0.18566176;0.3499044;0.64885496;0.15909091;0.78798587;0;1;0.28571429
Riachuelo;0.27918397;0.73404255;0.30731287;0.00504732;0.69759777;0.57147997;0.02635927;0.0193779;0.04205517;0.46616541;0.73736924;0.53278689;0.15948276;0.12456397;0.33035714;0.30147965;0.38740809;0.12619503;0.08905852;0.33766234;0.15547703;0.34545455;0;0.14285714
Ribeira;0.08058229;0.84042553;0.15024362;0.04100946;0.36010993;0.47120101;0.01126464;0.02007508;0.05701243;0.46616541;0.88315157;0.59836066;0;0;0.375;0.23551171;0.13097426;0.43977055;0.41221374;0.78246753;0.4770318;0.87727273;0.10666667;0
Ricardo de Albuquerque;0.28361422;0.9893617;0.05159727;0.02523659;0.85706844;0.2418027;0.03033944;0.01126207;0.00582751;0.66165414;0.82684175;0.31693989;0.73814655;0.03951184;0.53571429;0.51078915;0.63189338;0.26003824;0.24173028;0.24675325;0.23674912;0.62272727;0;0.14285714
Rio Comprido;0.26794326;0.59574468;0.22895001;0.01135647;0.59274641;0.51724993;0.12864223;0.30682875;0.15316628;0.62406015;0.85599822;0.41530055;0.30549569;0.02074949;0.125;0.25092478;0.16911765;0.16826004;0.08905852;0.37662338;0.16254417;0.31818182;0;0
Rocha;0.13450372;0.84042553;0.1804425;0.00630915;0.65176389;0.45140433;0.05459597;0.02631391;0.11820124;0.4962406;0.80369464;0.47540984;0.17079741;0.20980311;0.33035714;0.30147965;0.38740809;0.12619503;0.09414758;0.36688312;0.14134276;0.35909091;0;0
Rocha Miranda;0.3140396;0.9787234;0.09006765;0.20126183;0.77212715;0.44997863;0.11557525;0.0213443;0.07439782;0.63909774;0.86289784;0.36065574;0.37392241;0.05739513;0.34821429;0.60388409;0.99448529;0.47609943;0.19847328;0.31818182;0.28268551;0.56818182;0;0.14285714
Rocinha;1;0.56382979;0.00767855;0.02208202;0.85798724;0.75207154;0.10153199;0.08730783;0.01524864;0.63157895;0.92009793;0.21857923;0.60237069;1;0.1875;0.06658446;0.02481618;0.14722753;0.1475827;0.17207792;0.25088339;0.14090909;0;0
Sampaio;0.25182639;0.76595745;0.15033126;0;0.59630623;0.50034688;0.0285371;0.00727565;0.01165501;0.91729323;0.83196083;0.34153005;0.43803879;0.36927859;0.33035714;0.30147965;0.38740809;0.12619503;0.10687023;0.34090909;0.17314488;0.36818182;0;0.14285714
Santa Cruz;0.03155367;0.34042553;0.01951052;0.02586751;0.52418489;0.02307038;0.474617;0.19011441;1;0.87218045;0.73002448;0.20218579;0.83028017;0.13849297;0.84821429;0.31935882;0.18244485;0.48374761;0.96692112;0.31493506;0.76678445;0.61818182;0;0.42857143
Santa Teresa;0.16057818;0.40425532;0.16588885;0.02397476;0.86879374;0.71194452;0.00968759;0.03237397;0.00505051;0.37593985;0.85221456;0.46721311;0.27586207;0.36832552;0.00892857;0.14395808;0.06387868;0.12045889;0.02798982;0.35714286;0.17667845;0.31363636;0;0
Santissimo;0.09911022;0.57446809;0.01941849;0.05678233;0.77993793;0.17606786;0.04693602;0.0533965;0.00757576;0.76691729;0.76385489;0.28688525;0.53017241;0.14560348;0.85714286;0.55332922;0.72748162;1;0.67430025;0.1461039;0.20141343;0.81363636;0;0.14285714
Santo Cristo;0.14773164;0.9893617;0.23658515;0.13564669;0.18345173;0.63172633;0.06165515;0.14368967;0.04817405;0.66917293;0.76808369;0.31693989;0.41971983;0.88716888;0.125;0.23212084;0.08042279;0.08221797;0.043257;0.32792208;0.14487633;0.25909091;0;0
Sao Conrado;0.03059937;0.20212766;0.20891302;0.02586751;0.77727063;0.24878128;0.09935416;0.04327851;0.00874126;0.54887218;0.77119964;0.89071038;0.24084052;0.08789333;0.02678571;0.0622688;0.02389706;0.11089866;0.17048346;0.19480519;0.28268551;0;0.32;0.57142857
Sao Francisco Xavier;0.2630269;0.75531915;0.24202926;0.00630915;0.5258819;0.4134244;0.0632322;0.1920808;0.05798368;0.59398496;0.79590474;0.43715847;0.33297414;0.59910814;0.33035714;0.30147965;0.38740809;0.12619503;0.07379135;0.35064935;0.12367491;0.32272727;0;0.14285714
Saude;0.00607308;0.9787234;0.03166902;0.09652997;0.06861573;1;0.24812256;0.07082588;0.01670552;0.57894737;0.62074338;0.35519126;0.38092672;0;0.125;0.23212084;0.08042279;0.08221797;0.04580153;0.33441558;0.17314488;0.25909091;0;0
Senador Camara;0.12281433;0.37234043;0.03705462;0.09274448;0.90584355;0.08805215;0.11775308;0.02284591;0.0255439;0.72932331;0.82194525;0.27595628;0.66163793;0.36005992;0.88392857;1;1;0.6500956;0.65903308;0.08116883;0.14134276;0.71818182;0;0.14285714
Senador Vasconcelos;0.09426139;0.5;0.07500817;0.05047319;0.80043654;0.1674109;0.0411535;0.00952807;0.01146076;0.7443609;0.73781438;0.28142077;0.46821121;0.15608924;0.85714286;0.55332922;0.72748162;1;0.74300254;0;0.27915194;0.75454545;0;0.14285714
Sepetiba;0.09671724;0.74468085;0.01453753;0.05362776;0.93279587;0.19187585;0.05039051;0.0107079;0.00145688;0.77443609;0.50033385;0.17486339;0.85614224;0.03017417;0.17857143;0.12515413;0.06985294;0.17973231;1;0.40909091;0.90812721;0.61818182;0.10666667;0
Tanque;0.13690928;0.56382979;0.11915188;0.03091483;0.78408441;0.36202288;0.14741664;0.0410261;0.02690365;0.64661654;0.81905186;0.38797814;0.41109914;0.20386568;0.09821429;0.19913687;0.11948529;0.08030593;0.32061069;0.19155844;0.47349823;0.35;0;0.28571429
Taquara;0.1563547;0.77659574;0.14854372;0.07381703;0.73545725;0.32460908;0.53529588;0.23089024;0.34693085;0.65413534;0.80725573;0.43442623;0.25431034;0.12030166;0.5625;0.36528977;0.16498162;0.34608031;0.33587786;0.16883117;0.50883392;0.31818182;0;0.28571429
Taua;0.36338696;0.9787234;0.12321438;0.05236593;0.767378;0.36244919;0.05361971;0.015463;0.02622378;0.66165414;0.93322947;0.3715847;0.52586207;0.47326408;0.375;0.23551171;0.13097426;0.43977055;0.3562341;0.69155844;0.39575972;0.76363636;0.10666667;0
Tijuca;0.33415795;0.60638298;0.39182184;0.04227129;0.78752042;0.33556355;1;0.65545227;0.08304196;0.37593985;0.85110171;0.69125683;0.17133621;0.13580578;0.01785714;0.24414303;0.09375;0.11281071;0.05597964;0.3474026;0;0.15454545;0;0.57142857
Todos os Santos;0.50204715;1;0.35339983;0.00567823;0.84562074;0.30196792;0.03634725;0.02554523;0.01621989;0.5037594;0.8328511;0.63387978;0.08782328;0;0.10714286;0.33014797;0.27987132;0.18355641;0.13231552;0.31168831;0.19787986;0.46363636;0;0
Tomas Coelho;0.26550556;0.78723404;0.09913295;0.10851735;0.80826488;0.20825216;0.01809853;0.00461208;0.01777389;0.66165414;0.84331182;0.32786885;0.42349138;0.11210907;0.24107143;0.30302096;0.3125;0.18164436;0.11959288;0.30194805;0.19434629;0.41363636;0;0.71428571
Turiacu;0.28126301;0.89361702;0.10364286;0.61514196;0.58556484;0.42846429;0.04671072;0.00616732;0.0216589;0.77443609;0.86044959;0.3442623;0.29040948;0.1291983;0.47321429;0.76479655;0.62408088;0.39388145;0.2086514;0.27922078;0.27561837;0.55;0;0
Urca;0.05875845;0.27659574;0.30853592;0.05173502;0.54012586;0.42018491;0.01314208;0.01153021;0.00456488;0.27067669;0.79991097;0.80874317;0;0.03455849;0.13392857;0.20900123;0.06617647;0.20076482;0.09923664;0.36038961;0.12367491;0;0.62666667;0
Vargem Grande;0.00279267;0.10638298;0.0244175;0.00315457;0.75164413;0.26677385;0.0886903;0.01660708;0.02253302;0.7593985;0.47874471;0;0.41648707;0.43439228;0.21428571;0.17231813;0.18566176;0.3499044;0.87022901;0.47077922;1;0.39090909;0;0.28571429
Vargem Pequena;0.03466166;0.28723404;0.05188595;0.01009464;0.84760126;0.48542154;0.01637128;0.00947444;0.01262626;0.83458647;0.57511685;0.18032787;0.4768319;0.18206811;0.21428571;0.17231813;0.18566176;0.3499044;0.79898219;0.38311688;0.89045936;0.29545455;0;0
Vasco da Gama;0.36880698;1;0.13432617;0.07381703;0.16960485;0.69950474;0.24436768;0.28262424;0.27680653;0.56390977;0.81148453;0.38251366;0.61907328;0.51347197;0.28571429;0.31720099;0.20082721;0.42447419;0.12977099;0.3961039;0.06007067;0.4;0;0
Vaz Lobo;0.28209409;0.80851064;0.09548724;0.00378549;0.84942064;0.43047899;0.04858816;0.02390061;0.01010101;0.73684211;0.84153127;0.34699454;0.43857759;0.14493043;0.47321429;0.76479655;0.62408088;0.39388145;0.18320611;0.32142857;0.27915194;0.52272727;0;0.28571429
Vicente de Carvalho;0.2784759;0.84042553;0.12020546;0.12239748;0.59598499;0.37343949;0.16378792;0.02220236;0.01767677;0.66917293;0.78143779;0.3442623;0.44881466;0.33390504;0.39285714;0.5095561;0.6953125;0.73996176;0.12977099;0.32792208;0.21201413;0.45;0;0.85714286
Vidigal;0.15968007;0.29787234;0.08703863;0.41829653;0.31720396;0.40226423;0.01073896;0.02082588;0.00087413;0.63909774;0.8907189;0.30601093;0.55549569;0.81048235;0.02678571;0.0622688;0.02389706;0.11089866;0.18575064;0.22077922;0.30742049;0.04545455;0.58666667;0
Vigario Geral;0.25254277;0.95744681;0.06092878;0.09022082;0.43935267;0.1871552;0.32547312;0.05702538;0.41656954;0.87218045;0.79701758;0.21311475;0.82704741;0.36884556;0.39285714;0.35110974;0.53262868;0.43594646;0.18575064;0.4512987;0.18021201;0.5;0;0.42857143
Vila Cosmos;0.24577465;0.65957447;0.11009125;0.17223975;0.91275843;0.2214663;0.01471913;0.01074365;0.00505051;0.72180451;0.88738037;0.44808743;0.20366379;0.06014433;0.39285714;0.5095561;0.6953125;0.73996176;0.1653944;0.36363636;0.22261484;0.50909091;0;0.28571429
Vila da Penha;0.36461429;1;0.26279439;0.0511041;0.83197341;0.44799999;0.17873235;0.07129067;0.01223776;0.4887218;0.75495215;0.56010929;0.14547414;0;0.39285714;0.5095561;0.6953125;0.73996176;0.17557252;0.35714286;0.27915194;0.53181818;0;0
Vila Isabel;0.55199075;0.89361702;0.34443547;0.17223975;0.7998463;0.35491225;0.20666867;0.15815159;0.0298174;0.47368421;0.86133986;0.58469945;0.19450431;0.22174897;0.14285714;0.30024661;0.22196691;0.27724665;0.15267176;0.37662338;0.08480565;0.41363636;0;0
Vila Valqueire;0.15414887;0.70212766;0.18288385;0.10851735;0.92613098;0.3186562;0.17963352;0.08909546;0.01233489;0.66917293;0.73803695;0.53005464;0.24299569;0.0875553;0.07142857;0.16861899;0.09880515;0.0458891;0.35114504;0.46753247;0.33922261;0.56363636;0;0
Vista Alegre;0.34375802;1;0.18683596;0.24164038;0.86012448;0.48975414;0.05797537;0.02592063;0.00592463;0.56390977;0.89784109;0.5;0.11476293;0;0.39285714;0.5095561;0.6953125;0.73996176;0.21119593;0.44805195;0.32155477;0.58181818;0;0
Zumbi;0.2558572;0.96808511;0.17115353;0.47949527;0.8466478;0.54490391;0.00367978;0.00287808;0.00029138;0.48120301;0.82639662;0.60928962;0;0;0.375;0.23551171;0.13097426;0.43977055;0.39949109;0.75649351;0.48056537;0.85454545;0.10666667;0
