Bairros;Densidade habitacional territorial;Percentual de area urbanizada;Grau de verticalizacao;Percentual area pracas;Percentual da area construida que e residencial;Percentual de imoveis alugados;Postos de trabalho – comercio;Postos de trabalho – servicos;Postos de trabalho – indústria de transformacao;Densidade domiciliar;Percentual domicilios recenseados ocupados;Indice desenvolvimento social;Percentual domicilios abaixo da linha de pobreza;Percentual da populacao vivendo em favelas;Homicidio doloso;Roubo a transeunte;Roubo de veiculos;Furto de veiculos;Menor Distancia centralidade tipo 1;Menor Distancia centralidade tipo 2;Menor Distancia centralidade tipo 3;Distância praia fora da baia mais proxima;Indice de Qualidade praia;Indice de transporte
Catete;0.73075577;0.79787234;0.59084621;0.09400631;0.63526391;0.73934862;0.13848002;0.06730425;0.00339938;0.13533835;0.84397952;0.64754098;0.18049569;0.15713831;0.03571429;0.26541307;0.10845588;0.27533461;0.02035623;0.29545455;0.10954064;0.09090909;0;0.57142857
Catumbi;0.47991218;0.90425532;0.22317834;0.05425868;0.60598799;0.42367426;0.02575849;0.00924205;0.01728827;0.71428571;0.84620521;0.34699454;0.44019397;0.49223044;0.125;0.25092478;0.16911765;0.16826004;0.02035623;0.33441558;0.15194346;0.09545455;0;0
Cavalcanti;0.17000517;0.65957447;0.06406997;0.00063091;0.90547407;0.34617714;0.00998798;0.00296747;0.0224359;0.70676692;0.83663477;0.30874317;0.66002155;0.14386736;0.47321429;0.76479655;0.62408088;0.39388145;0.15776081;0.32467532;0.23321555;0.46818182;0;0.14285714
Cidade de Deus;0.59250495;0.9893617;0.08379097;0.33690852;0.87160275;0.14977869;0.03522079;0.01263854;0.00058275;0.81203008;0.861785;0.28961749;0.52640086;0.09383076;0.5625;0.36528977;0.16498162;0.34608031;0.46819338;0.20779221;0.54063604;0.34545455;0;0
Cidade Nova;0.11709161;1;0.33462621;0.1318612;0.10164985;0.95954323;0.13119555;0.17459778;0.00203963;0.4962406;0.7489428;0.3852459;0.2580819;0;0.125;0.25092478;0.16911765;0.16826004;0.00254453;0.29545455;0.10954064;0.09545455;0;0.85714286
Cocota;0.20252982;0.93617021;0.17102606;0.64353312;0.77681289;0.55962339;0.0127666;0.01215588;0.00097125;0.51879699;0.81971956;0.55191257;0.15247845;0;0.375;0.23551171;0.13097426;0.43977055;0.37150127;0.68181818;0.4204947;0.79090909;0.10666667;0
Coelho Neto;0.26407624;0.96808511;0.07025568;0.09968454;0.59497256;0.22322095;0.62766597;0.02836968;0.04370629;0.60902256;0.85733363;0.32786885;0.50862069;0.12720316;0.34821429;0.60388409;0.99448529;0.47609943;0.17048346;0.32467532;0.25088339;0.51818182;0;0.85714286
Colegio;0.26462821;0.9893617;0.06492702;0.03154574;0.64041797;0.2409452;0.02035146;0.00373615;0.10363248;0.72932331;0.8864901;0.30601093;0.61045259;0.44732221;0.375;0.54963009;0.82215074;0.62715105;0.14249364;0.32792208;0.22968198;0.46818182;0;0.57142857
Complexo do Alemao;0.48151889;0.88297872;0.02567474;0.00630915;0.5924784;0.23057564;0.19352658;0.10005363;0.10547786;0.87969925;1;0.21584699;0.74461207;0.8430097;0.42857143;0.38625154;0.31525735;0.57552581;0.20101781;0.54220779;0.18021201;0.57727273;0;0
Copacabana;0.7385283;0.64893617;1;0.15520505;0.81372816;0.66270129;0.75187744;0.68972113;0.07954545;0.06766917;0.61317605;0.75956284;0.2731681;0.07235221;0.03571429;0.10665845;0.00137868;0.05353728;0.06615776;0.23051948;0.10600707;0;0.96;0.57142857
Cordovil;0.23935867;0.90425532;0.08440316;0.04921136;0.57063698;0.20867074;0.17377591;0.06632106;0.08362471;0.72932331;0.86089473;0.31967213;0.52909483;0.16763707;0.39285714;0.35110974;0.53262868;0.43594646;0.14249364;0.40909091;0.11660777;0.45454545;0;0.42857143
Cosme Velho;0.16247317;0.57446809;0.23370673;0.03785489;0.7389682;0.20546561;0.00826074;0.03526993;0.00514763;0.67669173;0.90718896;0.6557377;0.26185345;0.39052712;0.03571429;0.26541307;0.10845588;0.27533461;0.11959288;0.37337662;0.2155477;0.11363636;0;0
Cosmos;0.13772792;0.70212766;0.0276994;0.09589905;0.91960757;0.08459012;0.07126765;0.01004648;0.00893551;0.80451128;0.80525262;0.2431694;0.76185345;0.15336104;0.85714286;0.55332922;0.72748162;1;0.92620865;0.06818182;0.55123675;0.67727273;0;0.42857143
Costa Barros;0.32162901;0.91489362;0.01749724;0.05615142;0.92570678;0.02573177;0.01509462;0.00021452;0.00106838;0.87218045;0.89183174;0.22404372;1;0.69701218;0.94642857;0.40875462;0.89016544;0.31166348;0.21628499;0.32792208;0.32862191;0.63181818;0;0.14285714
Curicica;0.18979461;0.84042553;0.11151386;0.12113565;0.76808747;0.45221651;0.20321418;0.08503754;0.32566045;0.72932331;0.76897396;0.34699454;0.25700431;0.21275032;0.5625;0.36528977;0.16498162;0.34608031;0.53689567;0.23701299;0.50883392;0.43636364;0;0.28571429
Del Castilho;0.2208999;1;0.23229205;0.29716088;0.486614;0.38192077;0.12428657;0.07300679;0.04924242;0.66917293;0.87959047;0.39617486;0.3981681;0;0.24107143;0.30302096;0.3125;0.18164436;0.08396947;0.32467532;0.13074205;0.34545455;0;0.71428571
Deodoro;0.04400971;0.4893617;0.01710857;0.01388013;0.56112424;0;0.01148994;0.00529138;0.01719114;0.87969925;0.87803249;0.27595628;0.60668103;0.16151363;0.60714286;0.47348952;0.42738971;0.57361377;0.28244275;0.20779221;0.19787986;0.58636364;0;0.42857143
Encantado;0.29033604;0.9893617;0.17038291;0.0044164;0.82081971;0.54731509;0.03341844;0.01222739;0.00699301;0.55639098;0.85176942;0.45355191;0.2580819;0.03368843;0.15178571;0.36436498;0.28860294;0.11089866;0.1221374;0.25649351;0.18374558;0.42727273;0;0
Engenheiro Leal;0.17504716;0.65957447;0.05410819;0.07129338;0.85720843;0.25007097;0.0094623;0.00092957;0.01155789;0.84210526;0.8913866;0.30054645;0.31142241;0.23149067;0.47321429;0.76479655;0.62408088;0.39388145;0.16793893;0.29220779;0.25441696;0.50454545;0;0
Engenho da Rainha;0.24473022;0.76595745;0.10185907;0.08706625;0.83207899;0.2367848;0.05729949;0.01145871;0.00932401;0.64661654;0.87424883;0.3715847;0.35721983;0.20647387;0.24107143;0.30302096;0.3125;0.18164436;0.11450382;0.33441558;0.21201413;0.42272727;0;0.57142857
Engenho de Dentro;0.2371929;0.82978723;0.18290859;0.03470032;0.76567319;0.45280256;0.16536497;0.07659993;0.05157343;0.54887218;0.71043846;0.43442623;0.27963362;0.14087514;0.10714286;0.40320592;0.34972426;0.16443595;0.09414758;0.23701299;0.14840989;0.38636364;0;0.14285714
Engenho Novo;0.3273121;0.78723404;0.23629061;0.01451104;0.71996298;0.37011577;0.1423851;0.05772256;0.06371406;0.63157895;0.74983307;0.44808743;0.3200431;0.24065133;0.33035714;0.30147965;0.38740809;0.12619503;0.11450382;0.34090909;0.17314488;0.39090909;0;0.14285714
Estacio;0.36036391;0.9787234;0.17981806;0.24416404;0.57090198;0.56566623;0.07464704;0.10370039;0.02301865;0.57142857;0.84175384;0.36338798;0.40140086;0.44042971;0.125;0.25092478;0.16911765;0.16826004;0.05089059;0.32142857;0.12720848;0.11818182;0;0.57142857
