,otimizador,repeticao,teste%,modelo,RMSE,R2,Se/Sy
79,L-BFGS-B,27,0.1,ch,7223.132120775664,0.7146911517559931,[0.53562477]
80,L-BFGS-B,27,0.1,sak,0.13679991571899708,0.9635274052465094,[0.19150776]
81,L-BFGS-B,28,0.1,bw,0.16900968454320917,0.9437052230056131,[0.23792336]
82,L-BFGS-B,28,0.1,ch,7099.68288594785,0.71888041358419,[0.53167787]
83,L-BFGS-B,28,0.1,sak,0.14103875423438889,0.9607967702882103,[0.19854729]
84,L-BFGS-B,29,0.1,bw,0.20274924038960693,0.9196845211329918,[0.28418599]
85,L-BFGS-B,29,0.1,ch,6449.116221649221,0.7411538545128524,[0.51018054]
86,L-BFGS-B,29,0.1,sak,0.14877143950981322,0.9567565921180534,[0.20852733]
87,L-BFGS-B,30,0.1,bw,0.1700034840440616,0.9461369024344227,[0.23272803]
88,L-BFGS-B,30,0.1,ch,8562.722991454926,0.6457249745708327,[0.59686114]
89,L-BFGS-B,30,0.1,sak,0.13698528947471703,0.9650277523505703,[0.18752743]
